Title,Link,Summary,Published Date,Source,Location
Japan Just Issued Its First ‘Megaquake’ Alert. Here’s What You Should Know,https://gizmodo.com/japan-just-issued-its-first-megaquake-alert-heres-what-you-should-know-2000485175,"Thursday's 7.1 earthquake has heightened concerns among experts, who warn that it could be a precursor to an even larger rupture along a fault line off the Japanese coast.",2024-08-09T16:40:41Z,Gizmodo.com,Japan
How to Stay Prepared and Informed for Extreme Weather,https://gizmodo.com/how-to-stay-prepared-and-informed-for-extreme-weather-2000493319,"How to pack a go-bag, get emergency alerts, and find disaster aid.",2024-08-30T19:30:29Z,Gizmodo.com,
Trump's Crypto Embrace Could Be a Disaster for Bitcoin,https://www.wired.com/story/donald-trump-bitcoin-reserve-promises/,"At the Bitcoin 2024 conference in Nashville, Donald Trump promised the crypto community the moon. They'd better hope they don't get it.",2024-08-02T13:00:00Z,Wired,Nashville
Your Guide to Surviving Extreme Weather,https://www.wired.com/story/your-guide-to-surviving-extreme-weather-flooding-hurricanes-wildfires-heat/,"How to pack a go bag, get emergency alerts, and find disaster aid.",2024-08-24T11:00:00Z,Wired,
Taylor Swift Pulling a 9/11 Gives Companies a Whole New Reason to Advertise on X,https://gizmodo.com/taylor-swift-pulling-a-9-11-gives-companies-a-whole-new-reason-to-advertise-on-x-2000487130,SIlly edgelord AI-generated images flood X.,2024-08-14T18:35:25Z,Gizmodo.com,
4.4 magnitude earthquake hits Los Angeles area,https://www.bbc.com/news/articles/ckg2040vrjdo,"The epicentre hit near Highland Park, a neighbourhood in Los Angeles County not far from the famous Hollywood sign.",2024-08-12T20:16:15Z,BBC News,"Los Angeles, Highland Park, Los Angeles County, Hollywood, https://www.bbc.com/news/articles/ckg2040vrjdo"
[Removed],https://removed.com,[Removed],1970-01-01T00:00:00Z,[Removed],
Captain of Bayesian rescue boat describes 'disaster',https://www.bbc.com/news/videos/cj621r0xn67o,Fifteen people were rescued and at least one person has died after a luxury yacht sank off Sicily's coast.,2024-08-19T14:00:59Z,BBC News,Sicily
Japan Issues First Ever 'Megaquake' Warning,https://slashdot.org/story/24/08/09/2339254/japan-issues-first-ever-megaquake-warning,"After a 7.1 tremor struck southwestern Japan on Thursday, the country's meteorological agency issued its first-ever alert for a possible ""megaquake."" It marks the first time the warning has been issued under new rules drawn up after a 2011 earthquake, tsunami…",2024-08-10T01:25:00Z,Slashdot.org,"Japan, Japan"
Couple left 'heartbroken' by burst water main damage,https://www.bbc.com/news/articles/c9x8zw6dkpro,Steve and Gill Wallis lost all of their possessions when a storage unit was deluged by the flood.,2024-08-11T01:30:35Z,BBC News,
Powerful Earthquake Hits Off Southern Japan Triggering a Tsunami Advisory,https://time.com/7009101/powerful-earthquake-hits-off-southern-japan-triggering-tsunami-advisory/,"A powerful earthquake struck off Japan's southern coast, triggering a tsunami advisory that urged residents to stay away from the coastline.",2024-08-08T12:56:15Z,Time,Japan
North Korea moving thousands of flood victims to capital: KCNA,https://www.yahoo.com/news/north-korea-moving-thousands-flood-060234655.html,"North Korea will move more than 15,000 flood victims to the capital, state media said Saturday, as leader Kim Jong Un insisted recovery efforts would be...",2024-08-10T06:02:34Z,Yahoo Entertainment,"North Korea, North Korea"
How a stranger helped this woman survive an earthquake,https://www.npr.org/2024/08/21/nx-s1-5081471/how-a-stranger-helped-this-woman-survive-an-earthquake,"On this week's ""My Unsung Hero"" from Hidden Brain: In 1989, Julia Weber was walking in San Francisco when an earthquake struck. A strange came to her rescue.",2024-08-21T20:47:40Z,NPR,San Francisco
